Date,Close/Last,Volume,Open,High,Low
7/25/2023,$265.28 ,112757300,$272.38 ,$272.90 ,$265.00 
7/24/2023,$269.06 ,137005000,$255.85 ,$269.85 ,$254.12 
7/21/2023,$260.02 ,161796100,$268.00 ,$268.00 ,$255.80 
7/20/2023,$262.90 ,175158300,$279.56 ,$280.93 ,$261.20 
7/19/2023,$291.26 ,142355400,$296.04 ,$299.29 ,$289.52 
7/18/2023,$293.34 ,112434700,$290.15 ,$295.26 ,$286.01 
7/17/2023,$290.38 ,131569600,$286.63 ,$292.23 ,$283.57 
7/14/2023,$281.38 ,120062400,$277.01 ,$285.30 ,$276.31 
7/13/2023,$277.90 ,112681500,$274.59 ,$279.45 ,$270.60 
7/12/2023,$271.99 ,95672140,$276.33 ,$276.52 ,$271.46 
7/11/2023,$269.79 ,91972360,$268.65 ,$270.90 ,$266.37 
7/10/2023,$269.61 ,119425400,$276.47 ,$277.52 ,$265.10 
7/7/2023,$274.43 ,113879200,$278.43 ,$280.78 ,$273.77 
7/6/2023,$276.54 ,120707400,$278.09 ,$279.97 ,$272.88 
7/5/2023,$282.48 ,131530900,$278.82 ,$283.85 ,$277.60 
7/3/2023,$279.82 ,118999000,$276.49 ,$284.25 ,$275.11 
6/30/2023,$261.77 ,112620800,$260.60 ,$264.45 ,$259.89 
6/29/2023,$257.50 ,131283400,$258.03 ,$260.74 ,$253.61 
6/28/2023,$256.24 ,159770800,$249.70 ,$259.88 ,$248.89 
6/27/2023,$250.21 ,164968200,$243.24 ,$250.39 ,$240.85 
6/26/2023,$241.05 ,179990600,$250.07 ,$258.37 ,$240.70 
6/23/2023,$256.60 ,177460800,$259.29 ,$262.45 ,$252.80 
6/22/2023,$264.61 ,166875900,$250.77 ,$265.00 ,$248.25 
6/21/2023,$259.46 ,211797100,$275.13 ,$276.99 ,$257.78 
6/20/2023,$274.45 ,165611200,$261.50 ,$274.75 ,$261.12 
6/16/2023,$260.54 ,167915600,$258.92 ,$263.60 ,$257.21 
6/15/2023,$255.90 ,160171200,$248.40 ,$258.95 ,$247.29 
6/14/2023,$256.79 ,170575500,$260.17 ,$261.57 ,$250.50 
6/13/2023,$258.71 ,162384300,$253.51 ,$259.68 ,$251.34 
6/12/2023,$249.83 ,150740500,$247.94 ,$250.97 ,$244.59 
6/9/2023,$244.40 ,200242400,$249.07 ,$252.42 ,$242.02 
6/8/2023,$234.86 ,164489700,$224.22 ,$235.23 ,$223.01 
6/7/2023,$224.57 ,185710800,$228.00 ,$230.83 ,$223.20 
6/6/2023,$221.31 ,146911600,$216.14 ,$221.91 ,$212.53 
6/5/2023,$217.61 ,151143100,$217.80 ,$221.29 ,$214.52 
6/2/2023,$213.97 ,164398400,$210.15 ,$217.25 ,$209.75 
6/1/2023,$207.52 ,148029900,$202.59 ,$209.80 ,$199.37 
5/31/2023,$203.93 ,150711700,$199.78 ,$203.95 ,$195.12 
5/30/2023,$201.16 ,128818700,$200.10 ,$204.48 ,$197.53 
5/26/2023,$193.17 ,162061500,$184.62 ,$198.60 ,$184.53 
